image_path,card_name,card_number,card_set
dataset/Furious Fists/Furious Fists_Machamp_46.jpg,Machamp,46,Furious Fists
dataset/Plasma Blast/Plasma Blast_Escavalier_61.jpg,Escavalier,61,Plasma Blast
dataset/Legend Maker/Legend Maker_Shuppet_63.jpg,Shuppet,63,Legend Maker
dataset/Gym Heroes/Gym Heroes_Sabrina's Jynx_59.jpg,Sabrina's Jynx,59,Gym Heroes
dataset/Legends Awakened/Legends Awakened_Dragonair_52.jpg,Dragonair,52,Legends Awakened
dataset/BREAKthrough/BREAKthrough_Raikou_55.jpg,Raikou,55,BREAKthrough
dataset/FireRed & LeafGreen/FireRed & LeafGreen_Bellsprout_53.jpg,Bellsprout,53,FireRed & LeafGreen
dataset/XY Black Star Promos/XY Black Star Promos_Regirock_XY49.jpg,Regirock,XY49,XY Black Star Promos
dataset/Supreme Victors/Supreme Victors_Breloom_52.jpg,Breloom,52,Supreme Victors
dataset/Unseen Forces/Unseen Forces_Hoothoot_59.jpg,Hoothoot,59,Unseen Forces
dataset/Vivid Voltage/Vivid Voltage_Galvantula_56.jpg,Galvantula,56,Vivid Voltage
dataset/Neo Revelation/Neo Revelation_Shuckle_51.jpg,Shuckle,51,Neo Revelation
dataset/Generations/Generations_Machamp_42.jpg,Machamp,42,Generations
dataset/HS—Triumphant/HS—Triumphant_Bellsprout_57.jpg,Bellsprout,57,HS—Triumphant
dataset/Phantom Forces/Phantom Forces_Mightyena_54.jpg,Mightyena,54,Phantom Forces
dataset/Guardians Rising/Guardians Rising_Gothitelle_54.jpg,Gothitelle,54,Guardians Rising
dataset/Team Rocket/Team Rocket_Drowzee_54.jpg,Drowzee,54,Team Rocket
dataset/Delta Species/Delta Species_Bagon δ_58.jpg,Bagon δ,58,Delta Species
dataset/Team Rocket Returns/Team Rocket Returns_Grimer_56.jpg,Grimer,56,Team Rocket Returns
dataset/BREAKpoint/BREAKpoint_Drowzee_50.jpg,Drowzee,50,BREAKpoint
dataset/Dragon Frontiers/Dragon Frontiers_Dratini δ_46.jpg,Dratini δ,46,Dragon Frontiers
dataset/Neo Revelation/Neo Revelation_Skiploom_52.jpg,Skiploom,52,Neo Revelation
dataset/HS—Undaunted/HS—Undaunted_Mawile_56.jpg,Mawile,56,HS—Undaunted
dataset/Celestial Storm/Celestial Storm_Grumpig_60.jpg,Grumpig,60,Celestial Storm
dataset/BW Black Star Promos/BW Black Star Promos_Mewtwo-EX_BW45.jpg,Mewtwo-EX,BW45,BW Black Star Promos
dataset/Deoxys/Deoxys_Beldum_55.jpg,Beldum,55,Deoxys
dataset/Burning Shadows/Burning Shadows_Dusknoir_53.jpg,Dusknoir,53,Burning Shadows
dataset/Hidden Legends/Hidden Legends_Tentacruel_51.jpg,Tentacruel,51,Hidden Legends
dataset/HS—Unleashed/HS—Unleashed_Onix_56.jpg,Onix,56,HS—Unleashed
dataset/Rising Rivals/Rising Rivals_Tropius_52.jpg,Tropius,52,Rising Rivals
dataset/Stormfront/Stormfront_Shelgon_50.jpg,Shelgon,50,Stormfront
dataset/Cosmic Eclipse/Cosmic Eclipse_Ducklett_59.jpg,Ducklett,59,Cosmic Eclipse
dataset/Dragon/Dragon_Geodude_56.jpg,Geodude,56,Dragon
dataset/Plasma Blast/Plasma Blast_Salamence_64.jpg,Salamence,64,Plasma Blast
dataset/HeartGold & SoulSilver/HeartGold & SoulSilver_Exeggcute_63.jpg,Exeggcute,63,HeartGold & SoulSilver
dataset/Cosmic Eclipse/Cosmic Eclipse_Wishiwashi_62.jpg,Wishiwashi,62,Cosmic Eclipse
dataset/Legend Maker/Legend Maker_Seedot_61.jpg,Seedot,61,Legend Maker
dataset/Base/Base_Poliwag_59.jpg,Poliwag,59,Base
dataset/Plasma Freeze/Plasma Freeze_Nidoking_58.jpg,Nidoking,58,Plasma Freeze
dataset/Noble Victories/Noble Victories_Elgyem_55.jpg,Elgyem,55,Noble Victories
dataset/Ultra Prism/Ultra Prism_Cresselia_59.jpg,Cresselia,59,Ultra Prism
dataset/HeartGold & SoulSilver/HeartGold & SoulSilver_Girafarig_64.jpg,Girafarig,64,HeartGold & SoulSilver
dataset/Call of Legends/Call of Legends_Hitmonlee_58.jpg,Hitmonlee,58,Call of Legends
dataset/Diamond & Pearl/Diamond & Pearl_Rhydon_60.jpg,Rhydon,60,Diamond & Pearl
dataset/Furious Fists/Furious Fists_Hitmonchan_48.jpg,Hitmonchan,48,Furious Fists
dataset/Delta Species/Delta Species_Bagon δ_57.jpg,Bagon δ,57,Delta Species
dataset/Dark Explorers/Dark Explorers_Aerodactyl_53.jpg,Aerodactyl,53,Dark Explorers
dataset/Holon Phantoms/Holon Phantoms_Baltoy_59.jpg,Baltoy,59,Holon Phantoms
dataset/Ancient Origins/Ancient Origins_Meowth_61.jpg,Meowth,61,Ancient Origins
dataset/BW Black Star Promos/BW Black Star Promos_Rayquaza-EX_BW47.jpg,Rayquaza-EX,BW47,BW Black Star Promos
dataset/Phantom Forces/Phantom Forces_Spiritomb_55.jpg,Spiritomb,55,Phantom Forces
dataset/Sword & Shield/Sword & Shield_Drizzile_57.jpg,Drizzile,57,Sword & Shield
dataset/Dragon Frontiers/Dragon Frontiers_Feebas δ_49.jpg,Feebas δ,49,Dragon Frontiers
dataset/Unbroken Bonds/Unbroken Bonds_Kingler_47.jpg,Kingler,47,Unbroken Bonds
dataset/Lost Thunder/Lost Thunder_Lapras_56.jpg,Lapras,56,Lost Thunder
dataset/Cosmic Eclipse/Cosmic Eclipse_Swanna_60.jpg,Swanna,60,Cosmic Eclipse
dataset/Unseen Forces/Unseen Forces_Houndour_60.jpg,Houndour,60,Unseen Forces
dataset/Roaring Skies/Roaring Skies_Bagon_55.jpg,Bagon,55,Roaring Skies
dataset/Hidden Fates Shiny Vault/Hidden Fates Shiny Vault_Alolan Ninetales-GX_SV53.jpg,Alolan Ninetales-GX,SV53,Hidden Fates Shiny Vault
dataset/Great Encounters/Great Encounters_Relicanth_51.jpg,Relicanth,51,Great Encounters
dataset/FireRed & LeafGreen/FireRed & LeafGreen_Bulbasaur_54.jpg,Bulbasaur,54,FireRed & LeafGreen
dataset/Generations/Generations_Graveler_44.jpg,Graveler,44,Generations
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Team Magma's Aron_59.jpg,Team Magma's Aron,59,Team Magma vs Team Aqua
dataset/Legends Awakened/Legends Awakened_Gliscor_55.jpg,Gliscor,55,Legends Awakened
dataset/Noble Victories/Noble Victories_Elgyem_54.jpg,Elgyem,54,Noble Victories
dataset/Secret Wonders/Secret Wonders_Roselia_62.jpg,Roselia,62,Secret Wonders
dataset/Plasma Freeze/Plasma Freeze_Mankey_59.jpg,Mankey,59,Plasma Freeze
dataset/SM Black Star Promos/SM Black Star Promos_Tapu Koko-GX_SM50.jpg,Tapu Koko-GX,SM50,SM Black Star Promos
dataset/Rebel Clash/Rebel Clash_Eiscue_54.jpg,Eiscue,54,Rebel Clash
dataset/Forbidden Light/Forbidden Light_Poipole_55.jpg,Poipole,55,Forbidden Light
dataset/Shining Legends/Shining Legends_Scraggy_50.jpg,Scraggy,50,Shining Legends
dataset/Steam Siege/Steam Siege_Pawniard_63.jpg,Pawniard,63,Steam Siege
dataset/Dragon Majesty/Dragon Majesty_Swablu_57.jpg,Swablu,57,Dragon Majesty
dataset/Diamond & Pearl/Diamond & Pearl_Riolu_61.jpg,Riolu,61,Diamond & Pearl
dataset/Jungle/Jungle_Cubone_50.jpg,Cubone,50,Jungle
dataset/Neo Revelation/Neo Revelation_Slugma_53.jpg,Slugma,53,Neo Revelation
dataset/Emerging Powers/Emerging Powers_Boldore_52.jpg,Boldore,52,Emerging Powers
dataset/Neo Revelation/Neo Revelation_Smoochum_54.jpg,Smoochum,54,Neo Revelation
dataset/BREAKthrough/BREAKthrough_Magnezone_54.jpg,Magnezone,54,BREAKthrough
dataset/Legendary Collection/Legendary Collection_Meowth_53.jpg,Meowth,53,Legendary Collection
dataset/Dragon Frontiers/Dragon Frontiers_Elekid δ_48.jpg,Elekid δ,48,Dragon Frontiers
dataset/Plasma Storm/Plasma Storm_Weezing_58.jpg,Weezing,58,Plasma Storm
dataset/SM Black Star Promos/SM Black Star Promos_Alolan Meowth_SM51.jpg,Alolan Meowth,SM51,SM Black Star Promos
dataset/HS—Undaunted/HS—Undaunted_Misdreavus_57.jpg,Misdreavus,57,HS—Undaunted
dataset/Darkness Ablaze/Darkness Ablaze_Dracovish_53.jpg,Dracovish,53,Darkness Ablaze
dataset/Flashfire/Flashfire_Florges_66.jpg,Florges,66,Flashfire
dataset/Cosmic Eclipse/Cosmic Eclipse_Black Kyurem_61.jpg,Black Kyurem,61,Cosmic Eclipse
dataset/Ultra Prism/Ultra Prism_Toxicroak_57.jpg,Toxicroak,57,Ultra Prism
dataset/Rising Rivals/Rising Rivals_Whiscash E4_54.jpg,Whiscash E4,54,Rising Rivals
dataset/Dark Explorers/Dark Explorers_Cofagrigus_52.jpg,Cofagrigus,52,Dark Explorers
dataset/Rising Rivals/Rising Rivals_Vibrava_53.jpg,Vibrava,53,Rising Rivals
dataset/Dark Explorers/Dark Explorers_Yamask_51.jpg,Yamask,51,Dark Explorers
dataset/Flashfire/Flashfire_Spritzee_67.jpg,Spritzee,67,Flashfire
dataset/Supreme Victors/Supreme Victors_Chatot G_54.jpg,Chatot G,54,Supreme Victors
dataset/BREAKthrough/BREAKthrough_Magneton_53.jpg,Magneton,53,BREAKthrough
dataset/Evolutions/Evolutions_Mew_53.jpg,Mew,53,Evolutions
dataset/Fates Collide/Fates Collide_Umbreon-EX_55.jpg,Umbreon-EX,55,Fates Collide
dataset/Arceus/Arceus_Cherubi_60.jpg,Cherubi,60,Arceus
dataset/Generations/Generations_Golem_45.jpg,Golem,45,Generations
dataset/Unseen Forces/Unseen Forces_Gloom_58.jpg,Gloom,58,Unseen Forces
dataset/Unified Minds/Unified Minds_Tapu Fini_53.jpg,Tapu Fini,53,Unified Minds
dataset/HeartGold & SoulSilver/HeartGold & SoulSilver_Growlithe_65.jpg,Growlithe,65,HeartGold & SoulSilver
dataset/Vivid Voltage/Vivid Voltage_Joltik_55.jpg,Joltik,55,Vivid Voltage
dataset/Celestial Storm/Celestial Storm_Swalot_58.jpg,Swalot,58,Celestial Storm
dataset/Ancient Origins/Ancient Origins_Sliggoo_59.jpg,Sliggoo,59,Ancient Origins
dataset/Aquapolis/Aquapolis_Slowbro_33.jpg,Slowbro,33,Aquapolis
dataset/Sun & Moon/Sun & Moon_Crobat_56.jpg,Crobat,56,Sun & Moon
dataset/Phantom Forces/Phantom Forces_Poochyena_53.jpg,Poochyena,53,Phantom Forces
dataset/Emerald/Emerald_Numel_57.jpg,Numel,57,Emerald
dataset/BREAKpoint/BREAKpoint_Zebstrika_49.jpg,Zebstrika,49,BREAKpoint
dataset/Ancient Origins/Ancient Origins_Goodra_60.jpg,Goodra,60,Ancient Origins
dataset/Legendary Collection/Legendary Collection_Magikarp_52.jpg,Magikarp,52,Legendary Collection
dataset/Ruby & Sapphire/Ruby & Sapphire_Swellow_46.jpg,Swellow,46,Ruby & Sapphire
dataset/Dark Explorers/Dark Explorers_Woobat_50.jpg,Woobat,50,Dark Explorers
dataset/Rebel Clash/Rebel Clash_Barraskewda_53.jpg,Barraskewda,53,Rebel Clash
dataset/Next Destinies/Next Destinies_Beheeyem_62.jpg,Beheeyem,62,Next Destinies
dataset/Crystal Guardians/Crystal Guardians_Mudkip_57.jpg,Mudkip,57,Crystal Guardians
dataset/Legend Maker/Legend Maker_Skitty_64.jpg,Skitty,64,Legend Maker
dataset/Plasma Storm/Plasma Storm_Koffing_57.jpg,Koffing,57,Plasma Storm
dataset/Power Keepers/Power Keepers_Lileep_52.jpg,Lileep,52,Power Keepers
dataset/Expedition Base Set/Expedition Base Set_Magby_52.jpg,Magby,52,Expedition Base Set
dataset/Dragon Majesty/Dragon Majesty_Swablu_56.jpg,Swablu,56,Dragon Majesty
dataset/Hidden Fates Shiny Vault/Hidden Fates Shiny Vault_Ho-Oh-GX_SV50.jpg,Ho-Oh-GX,SV50,Hidden Fates Shiny Vault
dataset/Flashfire/Flashfire_Floette_65.jpg,Floette,65,Flashfire
dataset/Team Up/Team Up_Tentacool_60.jpg,Tentacool,60,Team Up
dataset/HS—Triumphant/HS—Triumphant_Aron_56.jpg,Aron,56,HS—Triumphant
dataset/Darkness Ablaze/Darkness Ablaze_Mareanie_51.jpg,Mareanie,51,Darkness Ablaze
dataset/Fates Collide/Fates Collide_Zygarde-EX_54a.jpg,Zygarde-EX,54a,Fates Collide
dataset/Platinum/Platinum_Octillery_58.jpg,Octillery,58,Platinum
dataset/Team Rocket Returns/Team Rocket Returns_Ekans_55.jpg,Ekans,55,Team Rocket Returns
dataset/Gym Heroes/Gym Heroes_Misty's Tentacool_57.jpg,Misty's Tentacool,57,Gym Heroes
dataset/Emerald/Emerald_Mudkip_56.jpg,Mudkip,56,Emerald
dataset/Generations/Generations_Geodude_43.jpg,Geodude,43,Generations
dataset/XY Black Star Promos/XY Black Star Promos_Meowstic_XY48.jpg,Meowstic,XY48,XY Black Star Promos
dataset/Dragon/Dragon_Grimer_57.jpg,Grimer,57,Dragon
dataset/Skyridge/Skyridge_Politoed_25.jpg,Politoed,25,Skyridge
dataset/Rebel Clash/Rebel Clash_Arrokuda_52.jpg,Arrokuda,52,Rebel Clash
dataset/Vivid Voltage/Vivid Voltage_Blitzle_53.jpg,Blitzle,53,Vivid Voltage
dataset/Primal Clash/Primal Clash_Electrike_59.jpg,Electrike,59,Primal Clash
dataset/HS—Undaunted/HS—Undaunted_Murkrow_58.jpg,Murkrow,58,HS—Undaunted
dataset/Sword & Shield/Sword & Shield_Chewtle_60.jpg,Chewtle,60,Sword & Shield
dataset/Emerald/Emerald_Pichu_59.jpg,Pichu,59,Emerald
dataset/Base/Base_Ponyta_60.jpg,Ponyta,60,Base
dataset/Shining Legends/Shining Legends_Spiritomb_47.jpg,Spiritomb,47,Shining Legends
dataset/Stormfront/Stormfront_Staravia_52.jpg,Staravia,52,Stormfront
dataset/Platinum/Platinum_Probopass_60.jpg,Probopass,60,Platinum
dataset/Sandstorm/Sandstorm_Vigoroth_52.jpg,Vigoroth,52,Sandstorm
dataset/Sun & Moon/Sun & Moon_Golbat_55.jpg,Golbat,55,Sun & Moon
dataset/XY/XY_Diglett_58.jpg,Diglett,58,XY
dataset/Expedition Base Set/Expedition Base Set_Kingler_50.jpg,Kingler,50,Expedition Base Set
dataset/Expedition Base Set/Expedition Base Set_Machamp_51.jpg,Machamp,51,Expedition Base Set
dataset/Unbroken Bonds/Unbroken Bonds_Seaking_49.jpg,Seaking,49,Unbroken Bonds
dataset/Delta Species/Delta Species_Beldum δ_59.jpg,Beldum δ,59,Delta Species
dataset/Crystal Guardians/Crystal Guardians_Lotad_55.jpg,Lotad,55,Crystal Guardians
dataset/Next Destinies/Next Destinies_Riolu_63.jpg,Riolu,63,Next Destinies
dataset/Dragons Exalted/Dragons Exalted_Golett_58.jpg,Golett,58,Dragons Exalted
dataset/Boundaries Crossed/Boundaries Crossed_Duskull_61.jpg,Duskull,61,Boundaries Crossed
dataset/Burning Shadows/Burning Shadows_Venipede_56.jpg,Venipede,56,Burning Shadows
dataset/BW Black Star Promos/BW Black Star Promos_Darkrai-EX_BW46.jpg,Darkrai-EX,BW46,BW Black Star Promos
dataset/Team Up/Team Up_Grimer_62.jpg,Grimer,62,Team Up
dataset/Steam Siege/Steam Siege_Spiritomb_62.jpg,Spiritomb,62,Steam Siege
dataset/Ultra Prism/Ultra Prism_Croagunk_56.jpg,Croagunk,56,Ultra Prism
dataset/Ruby & Sapphire/Ruby & Sapphire_Vigoroth_47.jpg,Vigoroth,47,Ruby & Sapphire
dataset/Call of Legends/Call of Legends_Koffing_60.jpg,Koffing,60,Call of Legends
dataset/Supreme Victors/Supreme Victors_Cherrim_55.jpg,Cherrim,55,Supreme Victors
dataset/Plasma Blast/Plasma Blast_Bagon_62.jpg,Bagon,62,Plasma Blast
dataset/Base/Base_Rattata_61.jpg,Rattata,61,Base
dataset/Gym Heroes/Gym Heroes_Sabrina's Haunter_58.jpg,Sabrina's Haunter,58,Gym Heroes
dataset/Delta Species/Delta Species_Volbeat_56.jpg,Volbeat,56,Delta Species
dataset/Furious Fists/Furious Fists_Hitmontop_49.jpg,Hitmontop,49,Furious Fists
dataset/Legendary Collection/Legendary Collection_Metapod_54.jpg,Metapod,54,Legendary Collection
dataset/Call of Legends/Call of Legends_Houndour_59.jpg,Houndour,59,Call of Legends
dataset/Plasma Freeze/Plasma Freeze_Primeape_60.jpg,Primeape,60,Plasma Freeze
dataset/Black & White/Black & White_Reuniclus_57.jpg,Reuniclus,57,Black & White
dataset/Dragon/Dragon_Magikarp_60.jpg,Magikarp,60,Dragon
dataset/Celestial Storm/Celestial Storm_Spoink_59.jpg,Spoink,59,Celestial Storm
dataset/HS—Unleashed/HS—Unleashed_Onix_57.jpg,Onix,57,HS—Unleashed
dataset/Plasma Storm/Plasma Storm_Ralts_59.jpg,Ralts,59,Plasma Storm
dataset/Ruby & Sapphire/Ruby & Sapphire_Aron_49.jpg,Aron,49,Ruby & Sapphire
dataset/XY Black Star Promos/XY Black Star Promos_Heliolisk_XY47.jpg,Heliolisk,XY47,XY Black Star Promos
dataset/Rebel Clash/Rebel Clash_Eiscue V_55.jpg,Eiscue V,55,Rebel Clash
dataset/Crystal Guardians/Crystal Guardians_Krabby_54.jpg,Krabby,54,Crystal Guardians
dataset/Majestic Dawn/Majestic Dawn_Chatot_55.jpg,Chatot,55,Majestic Dawn
dataset/Crimson Invasion/Crimson Invasion_Oranguru_48.jpg,Oranguru,48,Crimson Invasion
dataset/Holon Phantoms/Holon Phantoms_Barboach_60.jpg,Barboach,60,Holon Phantoms
dataset/Forbidden Light/Forbidden Light_Dragalge_53.jpg,Dragalge,53,Forbidden Light
dataset/Gym Heroes/Gym Heroes_Sabrina's Slowbro_60.jpg,Sabrina's Slowbro,60,Gym Heroes
dataset/Jungle/Jungle_Eevee_51.jpg,Eevee,51,Jungle
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Team Magma's Baltoy_61.jpg,Team Magma's Baltoy,61,Team Magma vs Team Aqua
dataset/FireRed & LeafGreen/FireRed & LeafGreen_Caterpie_56.jpg,Caterpie,56,FireRed & LeafGreen
dataset/Power Keepers/Power Keepers_Kabuto_51.jpg,Kabuto,51,Power Keepers
dataset/Secret Wonders/Secret Wonders_Sableye_63.jpg,Sableye,63,Secret Wonders
dataset/Sword & Shield/Sword & Shield_Inteleon_59.jpg,Inteleon,59,Sword & Shield
dataset/HS—Unleashed/HS—Unleashed_Remoraid_59.jpg,Remoraid,59,HS—Unleashed
dataset/Deoxys/Deoxys_Electrike_59.jpg,Electrike,59,Deoxys
dataset/Crystal Guardians/Crystal Guardians_Meditite_56.jpg,Meditite,56,Crystal Guardians
dataset/Steam Siege/Steam Siege_Sneasel_60.jpg,Sneasel,60,Steam Siege
dataset/Lost Thunder/Lost Thunder_Slowpoke_54.jpg,Slowpoke,54,Lost Thunder
dataset/XY Black Star Promos/XY Black Star Promos_Pangoro_XY50.jpg,Pangoro,XY50,XY Black Star Promos
dataset/Black & White/Black & White_Scolipede_54.jpg,Scolipede,54,Black & White
dataset/Lost Thunder/Lost Thunder_Slowking_55.jpg,Slowking,55,Lost Thunder
dataset/Evolutions/Evolutions_Sandshrew_54.jpg,Sandshrew,54,Evolutions
dataset/Fates Collide/Fates Collide_Vullaby_57.jpg,Vullaby,57,Fates Collide
dataset/Base/Base_Pikachu_58.jpg,Pikachu,58,Base
dataset/Majestic Dawn/Majestic Dawn_Bronzor_52.jpg,Bronzor,52,Majestic Dawn
dataset/XY/XY_Rhyhorn_60.jpg,Rhyhorn,60,XY
dataset/SWSH Black Star Promos/SWSH Black Star Promos_Charizard V_SWSH050.jpg,Charizard V,SWSH050,SWSH Black Star Promos
dataset/Neo Discovery/Neo Discovery_Xatu_52.jpg,Xatu,52,Neo Discovery
dataset/Primal Clash/Primal Clash_Electrike_60.jpg,Electrike,60,Primal Clash
dataset/Noble Victories/Noble Victories_Reuniclus_53.jpg,Reuniclus,53,Noble Victories
dataset/Unbroken Bonds/Unbroken Bonds_Goldeen_48.jpg,Goldeen,48,Unbroken Bonds
dataset/Legendary Treasures/Legendary Treasures_Sableye_61.jpg,Sableye,61,Legendary Treasures
dataset/Crimson Invasion/Crimson Invasion_Nihilego-GX_49.jpg,Nihilego-GX,49,Crimson Invasion
dataset/SM Black Star Promos/SM Black Star Promos_Bewear_SM49.jpg,Bewear,SM49,SM Black Star Promos
dataset/Furious Fists/Furious Fists_Hitmonlee_47.jpg,Hitmonlee,47,Furious Fists
dataset/Majestic Dawn/Majestic Dawn_Buneary_53.jpg,Buneary,53,Majestic Dawn
dataset/Aquapolis/Aquapolis_Scizor_32.jpg,Scizor,32,Aquapolis
dataset/Gym Challenge/Gym Challenge_Blaine's Charmander_60.jpg,Blaine's Charmander,60,Gym Challenge
dataset/Dragon/Dragon_Houndour_59.jpg,Houndour,59,Dragon
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Team Magma's Baltoy_60.jpg,Team Magma's Baltoy,60,Team Magma vs Team Aqua
dataset/Ruby & Sapphire/Ruby & Sapphire_Wailmer_48.jpg,Wailmer,48,Ruby & Sapphire
dataset/Skyridge/Skyridge_Piloswine_24.jpg,Piloswine,24,Skyridge
dataset/Dragons Exalted/Dragons Exalted_Gothitelle_57.jpg,Gothitelle,57,Dragons Exalted
dataset/FireRed & LeafGreen/FireRed & LeafGreen_Bulbasaur_55.jpg,Bulbasaur,55,FireRed & LeafGreen
dataset/Stormfront/Stormfront_Skarmory_51.jpg,Skarmory,51,Stormfront
dataset/XY/XY_Dugtrio_59.jpg,Dugtrio,59,XY
dataset/SWSH Black Star Promos/SWSH Black Star Promos_Lapras_SWSH051.jpg,Lapras,SWSH051,SWSH Black Star Promos
dataset/Crimson Invasion/Crimson Invasion_Mankey_50.jpg,Mankey,50,Crimson Invasion
dataset/Emerald/Emerald_Numel_58.jpg,Numel,58,Emerald
dataset/Deoxys/Deoxys_Duskull_58.jpg,Duskull,58,Deoxys
dataset/Hidden Legends/Hidden Legends_Baltoy_52.jpg,Baltoy,52,Hidden Legends
dataset/BREAKpoint/BREAKpoint_Espeon-EX_52.jpg,Espeon-EX,52,BREAKpoint
dataset/Crimson Invasion/Crimson Invasion_Primeape_51.jpg,Primeape,51,Crimson Invasion
dataset/HS—Triumphant/HS—Triumphant_Bronzor_58.jpg,Bronzor,58,HS—Triumphant
dataset/Team Rocket/Team Rocket_Eevee_55.jpg,Eevee,55,Team Rocket
dataset/Unbroken Bonds/Unbroken Bonds_Kyurem_50.jpg,Kyurem,50,Unbroken Bonds
dataset/Roaring Skies/Roaring Skies_Salamence_57.jpg,Salamence,57,Roaring Skies
dataset/Neo Destiny/Neo Destiny_Unown [Z]_60.jpg,Unown [Z],60,Neo Destiny
dataset/Neo Genesis/Neo Genesis_Chikorita_53.jpg,Chikorita,53,Neo Genesis
dataset/Legends Awakened/Legends Awakened_Grumpig_56.jpg,Grumpig,56,Legends Awakened
dataset/Mysterious Treasures/Mysterious Treasures_Magmar_54.jpg,Magmar,54,Mysterious Treasures
dataset/Arceus/Arceus_Croagunk_61.jpg,Croagunk,61,Arceus
dataset/Holon Phantoms/Holon Phantoms_Aron_58.jpg,Aron,58,Holon Phantoms
dataset/Base Set 2/Base Set 2_Poliwhirl_57.jpg,Poliwhirl,57,Base Set 2
dataset/Neo Destiny/Neo Destiny_Unown [P]_58.jpg,Unown [P],58,Neo Destiny
dataset/Dragons Exalted/Dragons Exalted_Gothorita_56.jpg,Gothorita,56,Dragons Exalted
dataset/Forbidden Light/Forbidden Light_Hoopa_54.jpg,Hoopa,54,Forbidden Light
dataset/Evolutions/Evolutions_Diglett_55.jpg,Diglett,55,Evolutions
dataset/Team Rocket Returns/Team Rocket Returns_Hoppip_57.jpg,Hoppip,57,Team Rocket Returns
dataset/Fates Collide/Fates Collide_Tyranitar_56.jpg,Tyranitar,56,Fates Collide
dataset/Mysterious Treasures/Mysterious Treasures_Lairon_53.jpg,Lairon,53,Mysterious Treasures
dataset/Base Set 2/Base Set 2_Seaking_60.jpg,Seaking,60,Base Set 2
dataset/Diamond & Pearl/Diamond & Pearl_Seaking_62.jpg,Seaking,62,Diamond & Pearl
dataset/Burning Shadows/Burning Shadows_Toxicroak_55.jpg,Toxicroak,55,Burning Shadows
dataset/Sandstorm/Sandstorm_Wynaut_54.jpg,Wynaut,54,Sandstorm
dataset/Team Rocket Returns/Team Rocket Returns_Horsea_58.jpg,Horsea,58,Team Rocket Returns
dataset/Guardians Rising/Guardians Rising_Oricorio_56.jpg,Oricorio,56,Guardians Rising
dataset/BREAKpoint/BREAKpoint_Hypno_51.jpg,Hypno,51,BREAKpoint
dataset/Platinum/Platinum_Prinplup_59.jpg,Prinplup,59,Platinum
dataset/Legendary Collection/Legendary Collection_Nidorina_55.jpg,Nidorina,55,Legendary Collection
dataset/Steam Siege/Steam Siege_Yveltal_65.jpg,Yveltal,65,Steam Siege
dataset/Ruby & Sapphire/Ruby & Sapphire_Aron_50.jpg,Aron,50,Ruby & Sapphire
dataset/Cosmic Eclipse/Cosmic Eclipse_Wishiwashi-GX_63.jpg,Wishiwashi-GX,63,Cosmic Eclipse
dataset/Black & White/Black & White_Timburr_58.jpg,Timburr,58,Black & White
dataset/Platinum/Platinum_Seviper_61.jpg,Seviper,61,Platinum
dataset/Base Set 2/Base Set 2_Seel_61.jpg,Seel,61,Base Set 2
dataset/Darkness Ablaze/Darkness Ablaze_Mareep_55.jpg,Mareep,55,Darkness Ablaze
dataset/Gym Heroes/Gym Heroes_Blaine's Growlithe_62.jpg,Blaine's Growlithe,62,Gym Heroes
dataset/Call of Legends/Call of Legends_Magmar_62.jpg,Magmar,62,Call of Legends
dataset/XY/XY_Rhydon_61.jpg,Rhydon,61,XY
dataset/Primal Clash/Primal Clash_Eelektrik_63.jpg,Eelektrik,63,Primal Clash
dataset/HeartGold & SoulSilver/HeartGold & SoulSilver_Hoppip_67.jpg,Hoppip,67,HeartGold & SoulSilver
dataset/Rising Rivals/Rising Rivals_Ambipom G_56.jpg,Ambipom G,56,Rising Rivals
dataset/Legend Maker/Legend Maker_Spheal_65.jpg,Spheal,65,Legend Maker
dataset/Holon Phantoms/Holon Phantoms_Carvanha δ_61.jpg,Carvanha δ,61,Holon Phantoms
dataset/SWSH Black Star Promos/SWSH Black Star Promos_Machamp_SWSH053.jpg,Machamp,SWSH053,SWSH Black Star Promos
dataset/HS—Triumphant/HS—Triumphant_Carvanha_59.jpg,Carvanha,59,HS—Triumphant
dataset/Team Magma vs Team Aqua/Team Magma vs Team Aqua_Team Magma's Houndour_62.jpg,Team Magma's Houndour,62,Team Magma vs Team Aqua
dataset/Legendary Treasures/Legendary Treasures_Croagunk_62.jpg,Croagunk,62,Legendary Treasures
dataset/Hidden Fates Shiny Vault/Hidden Fates Shiny Vault_Articuno-GX_SV54.jpg,Articuno-GX,SV54,Hidden Fates Shiny Vault
dataset/Ultra Prism/Ultra Prism_Cosmog_60.jpg,Cosmog,60,Ultra Prism
dataset/Primal Clash/Primal Clash_Tynamo_62.jpg,Tynamo,62,Primal Clash
dataset/Team Rocket Returns/Team Rocket Returns_Houndour_59.jpg,Houndour,59,Team Rocket Returns
dataset/Dragon/Dragon_Magnemite_61.jpg,Magnemite,61,Dragon
dataset/Celestial Storm/Celestial Storm_Lunatone_61.jpg,Lunatone,61,Celestial Storm
dataset/Next Destinies/Next Destinies_Hippopotas_65.jpg,Hippopotas,65,Next Destinies
